raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
917,16,15,13,16,0.0,70,0 days 00:00:00,0.0,42.0,15.0,0 days 00:01:14.834000,207.29,11
917,154,208,14,17,0.0,63,0 days 00:00:00,0.0,63.0,6.0,0 days 00:01:14.070000,209.428,18
917,817,9,9,18,0.0,39,0 days 00:00:00,0.0,30.0,18.0,0 days 00:01:15.387000,205.77,22
918,1,131,2,1,50.0,55,0 days 01:39:02.619000,5942619.0,49.0,4.0,0 days 00:01:45.599000,189.342,1
918,13,3,4,2,36.0,55,0 days 01:39:05.195000,5945195.0,47.0,2.0,0 days 00:01:44.826000,190.738,1
918,822,3,3,3,30.0,55,0 days 01:39:31.499000,5971499.0,54.0,6.0,0 days 00:01:45.727000,189.113,1
918,817,9,20,4,24.0,55,0 days 01:39:39.856000,5979856.0,50.0,1.0,0 days 00:01:44.496000,191.341,1
918,18,1,6,5,20.0,55,0 days 01:40:02.953000,6002953.0,47.0,9.0,0 days 00:01:46.739000,187.32,1
918,807,10,12,6,16.0,55,0 days 01:40:04.767000,6004767.0,47.0,7.0,0 days 00:01:45.777000,189.024,1
918,815,10,11,7,12.0,55,0 days 01:40:13.679000,6013679.0,49.0,8.0,0 days 00:01:45.808000,188.968,1
918,20,9,19,8,8.0,55,0 days 01:40:14.664000,6014664.0,51.0,3.0,0 days 00:01:45.552000,189.427,1
918,4,6,8,9,4.0,55,0 days 01:40:28.432000,6028432.0,45.0,12.0,0 days 00:01:47.424000,186.126,1
918,8,6,7,10,2.0,55,0 days 01:40:30.439000,6030439.0,46.0,16.0,0 days 00:01:47.736000,185.586,1
918,825,1,9,11,0.0,55,0 days 01:40:32.995000,6032995.0,37.0,10.0,0 days 00:01:46.824000,187.171,1
918,818,5,10,12,0.0,55,0 days 01:40:34.566000,6034566.0,50.0,5.0,0 days 00:01:45.686000,189.186,1
918,154,208,18,13,0.0,54,0 days 00:00:00,0.0,35.0,17.0,0 days 00:01:47.897000,185.31,11
918,3,131,1,14,0.0,54,0 days 00:00:00,0.0,17.0,11.0,0 days 00:01:46.869000,187.092,11
918,821,15,14,15,0.0,54,0 days 00:00:00,0.0,43.0,15.0,0 days 00:01:47.698000,185.652,11
918,16,15,13,16,0.0,54,0 days 00:00:00,0.0,44.0,14.0,0 days 00:01:47.508000,185.98,11
918,829,207,17,17,0.0,54,0 days 00:00:00,0.0,47.0,18.0,0 days 00:01:48.398000,184.453,11
918,155,207,16,18,0.0,42,0 days 00:00:00,0.0,38.0,13.0,0 days 00:01:47.431000,186.113,31
918,813,208,15,19,0.0,26,0 days 00:00:00,0.0,9.0,20.0,0 days 00:01:48.933000,183.547,131
918,826,5,5,20,0.0,14,0 days 00:00:00,0.0,10.0,19.0,0 days 00:01:48.748000,183.859,131
926,1,131,1,1,25.0,58,0 days 01:31:54.067000,5514067.0,50.0,1.0,0 days 00:01:30.945000,209.915,1
926,3,131,2,2,18.0,58,0 days 01:31:55.427000,5515427.0,47.0,2.0,0 days 00:01:31.092000,209.577,1
926,20,6,4,3,15.0,58,0 days 01:32:28.590000,5548590.0,52.0,4.0,0 days 00:01:31.457000,208.74,1
926,13,3,3,4,12.0,58,0 days 01:32:32.263000,5552263.0,50.0,6.0,0 days 00:01:31.719000,208.144,1
